municipality_code,municipality_name,year,unemployment_rate
2401,Nordmaling,2017,14.5
2403,Bjurholm,2017,14.5
2404,Vindeln,2017,11.4
2409,Robertsfors,2017,13.1
2417,Norsjö,2017,15.2
2418,Malå,2017,13.5
2421,Storuman,2017,13.4
2422,Sorsele,2017,12.7
2425,Dorotea,2017,14.7
2460,Vännäs,2017,11.3
2462,Vilhelmina,2017,17.9
2463,Åsele,2017,18.6
2480,Umeå,2017,10.7
2481,Lycksele,2017,14.5
2482,Skellefteå,2017,12.6
2505,Arvidsjaur,2017,17.4
2506,Arjeplog,2017,13.6
2510,Jokkmokk,2017,14.6
2513,Överkalix,2017,17.9
2514,Kalix,2017,15.4
2518,Övertorneå,2017,19.7
2521,Pajala,2017,18.7
2523,Gällivare,2017,10.6
2560,Älvsbyn,2017,15.2
2580,Luleå,2017,12.2
2581,Piteå,2017,12.6
2582,Boden,2017,14.1
2583,Haparanda,2017,21.7
2584,Kiruna,2017,9.7
0114,Upplands Väsby,2018,12
0115,Vallentuna,2018,6.1
0117,Österåker,2018,7
0120,Värmdö,2018,7.6
0123,Järfälla,2018,13
0125,Ekerö,2018,5.9
0126,Huddinge,2018,11.7
0127,Botkyrka,2018,16.8
0128,Salem,2018,9.3
0136,Haninge,2018,11.5
0138,Tyresö,2018,8.8
0139,Upplands-Bro,2018,12.2
0140,Nykvarn,2018,7.2
0160,Täby,2018,6.4
0162,Danderyd,2018,5.8
0163,Sollentuna,2018,9.6
0180,Stockholm,2018,10.2
0181,Södertälje,2018,18.7
0182,Nacka,2018,8.3
0183,Sundbyberg,2018,11.4
0184,Solna,2018,7.8
0186,Lidingö,2018,7.3
0187,Vaxholm,2018,6.4
0188,Norrtälje,2018,9.3
0191,Sigtuna,2018,12.5
0192,Nynäshamn,2018,11.1
0305,Håbo,2018,8.8
0319,Älvkarleby,2018,16.9
0330,Knivsta,2018,6.6
0331,Heby,2018,10.9
0360,Tierp,2018,13.5
0380,Uppsala,2018,10
0381,Enköping,2018,11.5
0382,Östhammar,2018,7.9
0428,Vingåker,2018,16.2
0461,Gnesta,2018,8.2
0480,Nyköping,2018,12.8
0481,Oxelösund,2018,17.8
0482,Flen,2018,21
0483,Katrineholm,2018,16.5
0484,Eskilstuna,2018,19.3
0486,Strängnäs,2018,11.1
0488,Trosa,2018,7.9
0509,Ödeshög,2018,12.6
0512,Ydre,2018,7.8
0513,Kinda,2018,8.9
0560,Boxholm,2018,10.6
0561,Åtvidaberg,2018,9.2
0562,Finspång,2018,14.8
0563,Valdemarsvik,2018,14.9
0580,Linköping,2018,10
0581,Norrköping,2018,16.8
0582,Söderköping,2018,9.9
0583,Motala,2018,16
0584,Vadstena,2018,10.9
0586,Mjölby,2018,11.6
0604,Aneby,2018,10.7
0617,Gnosjö,2018,10.4
0642,Mullsjö,2018,8.8
0643,Habo,2018,7.1
0662,Gislaved,2018,12.9
0665,Vaggeryd,2018,8.9
0680,Jönköping,2018,9.9
0682,Nässjö,2018,14.9
0683,Värnamo,2018,10.1
0684,Sävsjö,2018,13
0685,Vetlanda,2018,10.9
0686,Eksjö,2018,10.6
0687,Tranås,2018,13.5
0760,Uppvidinge,2018,14.4
0761,Lessebo,2018,22.6
0763,Tingsryd,2018,12
0764,Alvesta,2018,14.3
0765,Älmhult,2018,12.8
0767,Markaryd,2018,16.1
0780,Växjö,2018,12.4
0781,Ljungby,2018,11.4
0821,Högsby,2018,20.7
0834,Torsås,2018,13.6
0840,Mörbylånga,2018,8.9
0860,Hultsfred,2018,16.8
0861,Mönsterås,2018,13.2
0862,Emmaboda,2018,14.5
0880,Kalmar,2018,12
0881,Nybro,2018,14.4
0882,Oskarshamn,2018,12.6
0883,Västervik,2018,13.9
0884,Vimmerby,2018,12.4
0885,Borgholm,2018,11.8
0980,Gotland,2018,11.5
1060,Olofström,2018,17.6
1080,Karlskrona,2018,13.4
1081,Ronneby,2018,20.6
1082,Karlshamn,2018,15.9
1083,Sölvesborg,2018,15.2
1214,Svalöv,2018,12.8
1230,Staffanstorp,2018,8.9
1231,Burlöv,2018,17.3
1233,Vellinge,2018,7.4
1256,Östra Göinge,2018,20
1257,Örkelljunga,2018,14.2
1260,Bjuv,2018,16.7
1261,Kävlinge,2018,9.1
1262,Lomma,2018,6.6
1263,Svedala,2018,9.3
1264,Skurup,2018,12.6
1265,Sjöbo,2018,10.5
1266,Hörby,2018,11.6
1267,Höör,2018,10.6
1270,Tomelilla,2018,13.3
1272,Bromölla,2018,16.3
1273,Osby,2018,14.7
1275,Perstorp,2018,19.8
1276,Klippan,2018,14.3
1277,Åstorp,2018,17.5
1278,Båstad,2018,10.7
1280,Malmö,2018,19.5
1281,Lund,2018,9
1282,Landskrona,2018,19.2
1283,Helsingborg,2018,16.7
1284,Höganäs,2018,10.3
1285,Eslöv,2018,13.7
1286,Ystad,2018,10.8
1287,Trelleborg,2018,13.2
1290,Kristianstad,2018,16.1
1291,Simrishamn,2018,13.2
1292,Ängelholm,2018,11.6
1293,Hässleholm,2018,16
1315,Hylte,2018,16.2
1380,Halmstad,2018,13.3
1381,Laholm,2018,11.6
1382,Falkenberg,2018,12.2
1383,Varberg,2018,9.1
1384,Kungsbacka,2018,7
1401,Härryda,2018,6.9
1402,Partille,2018,8.2
1407,Öckerö,2018,5.5
1415,Stenungsund,2018,7.3
1419,Tjörn,2018,6.2
1421,Orust,2018,8.2
1427,Sotenäs,2018,8.7
1430,Munkedal,2018,11.6
1435,Tanum,2018,10.3
1438,Dals-Ed,2018,9.7
1439,Färgelanda,2018,12.4
1440,Ale,2018,8.6
1441,Lerum,2018,6.5
1442,Vårgårda,2018,10.2
1443,Bollebygd,2018,8.2
1444,Grästorp,2018,9.4
1445,Essunga,2018,9.5
1446,Karlsborg,2018,9.9
1447,Gullspång,2018,15.7
1452,Tranemo,2018,8.5
1460,Bengtsfors,2018,17.3
1461,Mellerud,2018,15.9
1462,Lilla Edet,2018,10.2
1463,Mark,2018,9.1
1465,Svenljunga,2018,9.5
1466,Herrljunga,2018,9.2
1470,Vara,2018,9.3
1471,Götene,2018,10.7
1472,Tibro,2018,14.9
1473,Töreboda,2018,14.9
1480,Göteborg,2018,12.1
1481,Mölndal,2018,7.7
1482,Kungälv,2018,7.2
1484,Lysekil,2018,11.2
1485,Uddevalla,2018,14.4
1486,Strömstad,2018,10.6
1487,Vänersborg,2018,14.1
1488,Trollhättan,2018,16
1489,Alingsås,2018,9.2
1490,Borås,2018,13.2
1491,Ulricehamn,2018,9.6
1492,Åmål,2018,19.8
1493,Mariestad,2018,11.3
1494,Lidköping,2018,9.7
1495,Skara,2018,14.2
1496,Skövde,2018,10.8
1497,Hjo,2018,9.5
1498,Tidaholm,2018,11.2
1499,Falköping,2018,13.4
1715,Kil,2018,11.2
1730,Eda,2018,11.2
1737,Torsby,2018,10.7
1760,Storfors,2018,18.3
1761,Hammarö,2018,8.1
1762,Munkfors,2018,15.8
1763,Forshaga,2018,12.9
1764,Grums,2018,13.5
1765,Årjäng,2018,10.6
1766,Sunne,2018,10.8
1780,Karlstad,2018,12.9
1781,Kristinehamn,2018,17.6
1782,Filipstad,2018,18.6
1783,Hagfors,2018,13.1
1784,Arvika,2018,11.6
1785,Säffle,2018,18.9
1814,Lekeberg,2018,9.4
1860,Laxå,2018,14.2
1861,Hallsberg,2018,14.7
1862,Degerfors,2018,14.8
1863,Hällefors,2018,17
1864,Ljusnarsberg,2018,17.7
1880,Örebro,2018,13.6
1881,Kumla,2018,11.7
1882,Askersund,2018,10.6
1883,Karlskoga,2018,14.1
1884,Nora,2018,13.9
1885,Lindesberg,2018,14.2
1904,Skinnskatteberg,2018,11.9
1907,Surahammar,2018,12.9
1960,Kungsör,2018,16.6
1961,Hallstahammar,2018,13.7
1962,Norberg,2018,15.3
1980,Västerås,2018,14.5
1981,Sala,2018,13.5
1982,Fagersta,2018,18.7
1983,Köping,2018,15
1984,Arboga,2018,14.3
2021,Vansbro,2018,9.4
2023,Malung-Sälen,2018,10.5
2026,Gagnef,2018,7.5
2029,Leksand,2018,9.5
2031,Rättvik,2018,9.4
2034,Orsa,2018,15.5
2039,Älvdalen,2018,13.3
2061,Smedjebacken,2018,10
2062,Mora,2018,9.2
2080,Falun,2018,10.9
2081,Borlänge,2018,14.5
2082,Säter,2018,8
2083,Hedemora,2018,14.2
2084,Avesta,2018,17.3
2085,Ludvika,2018,14.9
2101,Ockelbo,2018,18.6
2104,Hofors,2018,16.4
2121,Ovanåker,2018,13.8
2132,Nordanstig,2018,13.5
2161,Ljusdal,2018,17
2180,Gävle,2018,16.3
2181,Sandviken,2018,19.9
2182,Söderhamn,2018,18.5
2183,Bollnäs,2018,18
2184,Hudiksvall,2018,13.7
2260,Ånge,2018,14.7
2262,Timrå,2018,13.8
2280,Härnösand,2018,19.2
2281,Sundsvall,2018,13.8
2282,Kramfors,2018,17.5
2283,Sollefteå,2018,18
2284,Örnsköldsvik,2018,14.4
2303,Ragunda,2018,16.7
2305,Bräcke,2018,15.3
2309,Krokom,2018,10.5
2313,Strömsund,2018,17.2
2321,Åre,2018,12.9
2326,Berg,2018,13.2
2361,Härjedalen,2018,14.2
2380,Östersund,2018,12.1
2401,Nordmaling,2018,13.2
2403,Bjurholm,2018,15
2404,Vindeln,2018,11.6
2409,Robertsfors,2018,11.4
2417,Norsjö,2018,14.9
2418,Malå,2018,11.6
2421,Storuman,2018,12.3
2422,Sorsele,2018,12.5
2425,Dorotea,2018,12.8
2460,Vännäs,2018,10.9
2462,Vilhelmina,2018,16.7
2463,Åsele,2018,17
2480,Umeå,2018,10.1
2481,Lycksele,2018,13.5
2482,Skellefteå,2018,11.6
2505,Arvidsjaur,2018,16.1
2506,Arjeplog,2018,14
2510,Jokkmokk,2018,14.2
2513,Överkalix,2018,15.7
2514,Kalix,2018,13.9
2518,Övertorneå,2018,18.2
2521,Pajala,2018,16.4
2523,Gällivare,2018,9.4
2560,Älvsbyn,2018,13.7
2580,Luleå,2018,11.9
2581,Piteå,2018,12.2
2582,Boden,2018,12.8
2583,Haparanda,2018,20.6
2584,Kiruna,2018,9.4
0114,Upplands Väsby,2019,12.1
0115,Vallentuna,2019,6.8
0117,Österåker,2019,7.1
0120,Värmdö,2019,7.6
0123,Järfälla,2019,12.7
0125,Ekerö,2019,6.3
0126,Huddinge,2019,11.3
0127,Botkyrka,2019,16.3
0128,Salem,2019,8.8
0136,Haninge,2019,11.7
