"municipality_code","municipality_name","year","population_total","population_working_age","share_postsecondary","employment_rate","unemployment_rate","labour_market_source_table","disposable_income_pbb","price_base_amount","disposable_income_sek_nominal","new_firm_starts_per_1000_16_64","program_exit_to_work_or_study_share"
"0115","Vallentuna",2021,34246,19289,0.474019028317289,85,8.1,"IntGr1KomKonUtb",7.2,47600,342720,13.04204529,27.27272728
"0115","Vallentuna",2022,34851,19705,0.487190837160405,86.3,6.7,"IntGr1KomUtbBAS",7.4,48300,357420,12.87007354,
"0115","Vallentuna",2023,35076,19930,0.49816528835095,85.7,6.8,"IntGr1KomUtbBAS",6.5,52500,341250,11.22609258,67.44186047
"0117","Österåker",2016,43293,23939,0.418172551200074,85.3,7.2,"IntGr1KomKonUtb",6.6,44300,292380,17.4,
"0117","Österåker",2017,44130,24314,0.425951086956522,85,7,"IntGr1KomKonUtb",6.7,44800,300160,14.8,
"0117","Österåker",2018,44831,24629,0.431955038137294,84.8,7,"IntGr1KomKonUtb",6.8,45500,309400,13.6,
"0117","Österåker",2019,45574,25027,0.43846556690233,84,7.1,"IntGr1KomKonUtb",6.9,46500,320850,11.8,
"0117","Österåker",2020,46644,25733,0.446188435922454,83.3,9.1,"IntGr1KomKonUtb",7,47300,331100,15.1,
"0117","Österåker",2021,48234,26661,0.460010625689648,84.4,8.5,"IntGr1KomKonUtb",7.3,47600,347480,15.56460165,
"0117","Österåker",2022,49138,27235,0.473232121454255,85.9,7.5,"IntGr1KomUtbBAS",7.5,48300,362250,13.2897158,
"0117","Österåker",2023,49282,27364,0.482443904188753,85.4,7.2,"IntGr1KomUtbBAS",6.5,52500,341250,10.14144649,80
"0120","Värmdö",2016,42000,23574,0.418083064100763,85.6,7.3,"IntGr1KomKonUtb",6.6,44300,292380,16.2,
"0120","Värmdö",2017,43444,24404,0.426315078972236,85.6,7.2,"IntGr1KomKonUtb",6.7,44800,300160,14.9,10.66666667
"0120","Värmdö",2018,44397,24951,0.433356716941424,85.6,7.6,"IntGr1KomKonUtb",6.8,45500,309400,15,62.5
"0120","Värmdö",2019,45000,25345,0.43880892872533,84.5,7.6,"IntGr1KomKonUtb",6.9,46500,320850,14.3,30.2631579
"0120","Värmdö",2020,45566,25575,0.449543621311823,83.7,9.7,"IntGr1KomKonUtb",6.9,47300,326370,15.2,45.94594595
"0120","Värmdö",2021,46232,25814,0.461677300201478,84.7,8.9,"IntGr1KomKonUtb",7.2,47600,342720,15.15526195,54.70588235
"0120","Värmdö",2022,46457,25930,0.476343995980573,86.4,7.4,"IntGr1KomUtbBAS",7.4,48300,357420,14.30236254,66.16541353
"0120","Värmdö",2023,46637,25937,0.485502077126432,85.6,7.2,"IntGr1KomUtbBAS",6.5,52500,341250,12.9414653,
"0123","Järfälla",2016,74412,42815,0.439233022915141,79.5,13.7,"IntGr1KomKonUtb",6,44300,265800,12.7,
"0123","Järfälla",2017,76453,44069,0.444163143370718,80.1,13.7,"IntGr1KomKonUtb",6.1,44800,273280,11.8,
"0123","Järfälla",2018,78480,45291,0.452853294146461,80.5,13,"IntGr1KomKonUtb",6.2,45500,282100,11.8,
"0123","Järfälla",2019,79990,46327,0.457880532135948,80.1,12.7,"IntGr1KomKonUtb",6.2,46500,288300,10.1,26.64141414
"0123","Järfälla",2020,81274,47345,0.462981082844097,78.9,16.2,"IntGr1KomKonUtb",6.2,47300,293260,11.5,27.46781116
"0123","Järfälla",2021,83170,48682,0.46785108068349,79.8,15.6,"IntGr1KomKonUtb",6.4,47600,304640,11.74474251,16.46017699
"0123","Järfälla",2022,85460,50397,0.482921471718836,81,13.6,"IntGr1KomUtbBAS",6.6,48300,318780,11.50625629,31.84357542
"0123","Järfälla",2023,86330,51089,0.490426683993935,80.8,13.1,"IntGr1KomUtbBAS",5.7,52500,299250,11.07774563,26.40845071
"0125","Ekerö",2016,27406,14823,0.479163588000591,86.4,5.6,"IntGr1KomKonUtb",7,44300,310100,15.9,50.79365079
"0125","Ekerö",2017,27753,14872,0.487106643356643,86.5,5.7,"IntGr1KomKonUtb",7.2,44800,322560,14.8,71.83098591
"0125","Ekerö",2018,28308,15122,0.490737429368429,86.1,5.9,"IntGr1KomKonUtb",7.3,45500,332150,14.4,73.33333334
"0125","Ekerö",2019,28690,15375,0.492100273857173,83.9,6.3,"IntGr1KomKonUtb",7.3,46500,339450,13.5,57.30337078
"0125","Ekerö",2020,28879,15468,0.49573361082206,83.2,8.1,"IntGr1KomKonUtb",7.4,47300,350020,15.3,66.33663367
"0125","Ekerö",2021,29096,15545,0.509905432456685,83.7,7.4,"IntGr1KomKonUtb",7.7,47600,366520,14.49275362,43.33333333
"0125","Ekerö",2022,29123,15541,0.517600499895855,84.9,5.8,"IntGr1KomUtbBAS",7.9,48300,381570,13.63583614,36.36363636
"0125","Ekerö",2023,28808,15247,0.52788816349702,84.4,6.3,"IntGr1KomUtbBAS",7,52500,367500,11.42227634,36.06557378
"0126","Huddinge",2016,107538,63958,0.437059327816366,79.1,12,"IntGr1KomKonUtb",6,44300,265800,12.6,31.74603174
"0126","Huddinge",2017,110003,65453,0.44522932022932,79.2,12,"IntGr1KomKonUtb",6.1,44800,273280,11.3,46.20253164
"0126","Huddinge",2018,111722,66578,0.452698073162987,79.3,11.7,"IntGr1KomKonUtb",6.2,45500,282100,12.4,51
"0126","Huddinge",2019,112848,67198,0.459335038363171,79.1,11.3,"IntGr1KomKonUtb",6.2,46500,288300,11.3,40.86538462
"0126","Huddinge",2020,113234,67401,0.469660891698826,77.7,14.1,"IntGr1KomKonUtb",6.2,47300,293260,11.9,39.86820429
"0126","Huddinge",2021,113951,67681,0.477603903203172,79,13.4,"IntGr1KomKonUtb",6.5,47600,309400,12.15797204,61.64383561
"0126","Huddinge",2022,114504,67945,0.492315448794054,80.6,11.6,"IntGr1KomUtbBAS",6.7,48300,323610,11.24175899,74.66216216
"0126","Huddinge",2023,113920,67535,0.500368435703876,80.4,11.2,"IntGr1KomUtbBAS",5.9,52500,309750,10.80336525,65.33333333
"0127","Botkyrka",2016,90675,54109,0.335451106606199,73.5,17.7,"IntGr1KomKonUtb",5.2,44300,230360,11,
"0127","Botkyrka",2017,91925,54807,0.339637752587482,74.2,17.1,"IntGr1KomKonUtb",5.3,44800,237440,9.8,44.29752066
"0127","Botkyrka",2018,93106,55529,0.347051447985763,74.8,16.8,"IntGr1KomKonUtb",5.4,45500,245700,10.5,40.88820827
"0127","Botkyrka",2019,94606,56452,0.35035455373767,74.8,16.3,"IntGr1KomKonUtb",5.4,46500,251100,9.7,49.30875576
"0127","Botkyrka",2020,94847,56552,0.35500078814628,73,19.4,"IntGr1KomKonUtb",5.4,47300,255420,10.7,52.93296089
"0127","Botkyrka",2021,95318,56613,0.361075644777937,74.9,19,"IntGr1KomKonUtb",5.7,47600,271320,12.83326539,41.44385027
"0127","Botkyrka",2022,95383,56723,0.371505260476872,76.9,16.8,"IntGr1KomUtbBAS",5.9,48300,284970,10.7848719,52.33160622
"0127","Botkyrka",2023,95592,56952,0.376793207768127,76.8,16.4,"IntGr1KomUtbBAS",5,52500,262500,10.10199283,47.20121029
"0128","Salem",2016,16615,8919,0.425235404896422,84.1,9.7,"IntGr1KomKonUtb",6.5,44300,287950,10.7,
"0128","Salem",2017,16665,8927,0.42833977797181,84.2,9.8,"IntGr1KomKonUtb",6.6,44800,295680,9.7,44.73684211
"0128","Salem",2018,16786,9009,0.432485563337019,84,9.3,"IntGr1KomKonUtb",6.7,45500,304850,9.9,
"0128","Salem",2019,16750,8976,0.431288343558282,84.2,8.8,"IntGr1KomKonUtb",6.7,46500,311550,10.1,26.88172043
"0128","Salem",2020,16959,9101,0.439415882210958,82.9,11.4,"IntGr1KomKonUtb",6.7,47300,316910,10.1,31.01604278
"0128","Salem",2021,17252,9274,0.453824295524509,83.8,10.6,"IntGr1KomKonUtb",6.9,47600,328440,9.74184121,
"0128","Salem",2022,17352,9362,0.467129248500529,85.2,9.2,"IntGr1KomUtbBAS",7.1,48300,342930,9.90002912,
"0128","Salem",2023,17451,9497,0.47811955890888,85,8.8,"IntGr1KomUtbBAS",6.2,52500,325500,10.65259117,
"0136","Haninge",2016,85693,50621,0.312680147469556,80.1,11.9,"IntGr1KomKonUtb",5.8,44300,256940,12.4,46.53739612
"0136","Haninge",2017,88037,51954,0.316633526411343,80.5,11.6,"IntGr1KomKonUtb",5.9,44800,264320,12.1,32.51231527
"0136","Haninge",2018,89989,53030,0.323552253216632,80.9,11.5,"IntGr1KomKonUtb",6,45500,273000,10.8,43.11111111
"0136","Haninge",2019,92095,54439,0.329394477438315,80.5,11.7,"IntGr1KomKonUtb",6,46500,279000,10.8,40.37037037
"0136","Haninge",2020,93690,55345,0.336100498089656,79.3,14.7,"IntGr1KomKonUtb",6,47300,283800,11.1,40.37037037
"0136","Haninge",2021,95658,56638,0.346224390243902,80.7,13.9,"IntGr1KomKonUtb",6.3,47600,299880,12.94482453,49.44812362
"0136","Haninge",2022,97683,58042,0.360687314059043,81.8,12.2,"IntGr1KomUtbBAS",6.4,48300,309120,12.29555166,46.4
"0136","Haninge",2023,99751,59676,0.369692000968902,81.6,12.1,"IntGr1KomUtbBAS",5.5,52500,288750,10.72061005,31.07692308
"0138","Tyresö",2016,47103,26562,0.419405188778739,84.2,8.3,"IntGr1KomKonUtb",6.6,44300,292380,12.7,16.66666667
"0138","Tyresö",2017,47304,26695,0.424417147154675,84.2,8.3,"IntGr1KomKonUtb",6.7,44800,300160,11.4,20.58823529
"0138","Tyresö",2018,48004,27097,0.42806343497098,84.2,8.8,"IntGr1KomKonUtb",6.7,45500,304850,12,15.67164179
"0138","Tyresö",2019,48333,27353,0.431515689279664,83.3,8.8,"IntGr1KomKonUtb",6.7,46500,311550,10.5,44.9579832
"0138","Tyresö",2020,48678,27597,0.442971455870059,82.4,11.5,"IntGr1KomKonUtb",6.8,47300,321640,12.2,70.80291971
"0138","Tyresö",2021,49062,27752,0.452416679829411,83.1,10.7,"IntGr1KomKonUtb",7,47600,333200,11.089666,45.71428571
"0138","Tyresö",2022,49214,27781,0.466089693154996,84.9,8.9,"IntGr1KomUtbBAS",7.3,48300,352590,12.4594249,49.6124031
"0138","Tyresö",2023,49173,27729,0.473998898591771,84.2,8.8,"IntGr1KomUtbBAS",6.3,52500,330750,9.77379707,56.37254902
"0139","Upplands-Bro",2016,26755,15366,0.369609557109557,80.6,11.7,"IntGr1KomKonUtb",5.9,44300,261370,10.6,
"0139","Upplands-Bro",2017,27614,15849,0.373574077962069,80.9,12,"IntGr1KomKonUtb",6.1,44800,273280,11.6,78.46153846
"0139","Upplands-Bro",2018,28756,16499,0.381804723773636,81.3,12.2,"IntGr1KomKonUtb",6.1,45500,277550,12.1,
"0139","Upplands-Bro",2019,29346,16799,0.380296471205562,80.7,12.3,"IntGr1KomKonUtb",6.2,46500,288300,11.5,37.87878788
"0139","Upplands-Bro",2020,30195,17370,0.387010676156584,79.6,15.4,"IntGr1KomKonUtb",6.1,47300,288530,11.8,
"0139","Upplands-Bro",2021,31082,17911,0.39341217262089,80.6,14.8,"IntGr1KomKonUtb",6.3,47600,299880,11.89860321,
"0139","Upplands-Bro",2022,31853,18521,0.405895419343219,81.9,13.5,"IntGr1KomUtbBAS",6.5,48300,313950,11.21572259,41.44144145
"0139","Upplands-Bro",2023,32453,18833,0.408416573083516,81.7,12.6,"IntGr1KomUtbBAS",5.6,52500,294000,10.71784646,
"0140","Nykvarn",2016,10424,5777,0.348639455782313,87.7,7.6,"IntGr1KomKonUtb",6.8,44300,301240,10.4,
"0140","Nykvarn",2017,10660,5869,0.355253353204173,87.9,7,"IntGr1KomKonUtb",6.9,44800,309120,10.2,
"0140","Nykvarn",2018,10923,5983,0.361211901306241,88.5,7.2,"IntGr1KomKonUtb",7,45500,318500,11.8,
"0140","Nykvarn",2019,11014,6002,0.368165467625899,88.9,7.3,"IntGr1KomKonUtb",7.1,46500,330150,11.9,
"0140","Nykvarn",2020,11222,6172,0.37425673312347,87.8,8.9,"IntGr1KomKonUtb",7,47300,331100,10.3,0
"0140","Nykvarn",2021,11500,6338,0.38268870335662,87,8.2,"IntGr1KomKonUtb",7.3,47600,347480,12.27614096,
"0140","Nykvarn",2022,11664,6451,0.394727948631294,89,7.5,"IntGr1KomUtbBAS",7.5,48300,362250,11.92871515,40.54054054
"0140","Nykvarn",2023,12107,6813,0.400934278350516,87.9,7.1,"IntGr1KomUtbBAS",6.5,52500,341250,7.59066629,
"0160","Täby",2016,69386,37394,0.613259340594118,84.5,6.1,"IntGr1KomKonUtb",7.7,44300,341110,17.1,44
"0160","Täby",2017,70405,38066,0.617880968333965,84.7,6,"IntGr1KomKonUtb",7.8,44800,349440,14.8,25
"0160","Täby",2018,71397,38733,0.62301723154171,84.3,6.4,"IntGr1KomKonUtb",7.8,45500,354900,14.4,71.875
"0160","Täby",2019,71874,39107,0.628901408450704,83.7,6.3,"IntGr1KomKonUtb",7.9,46500,367350,13.4,62.5
"0160","Täby",2020,72755,39679,0.63615972529907,82.8,8.5,"IntGr1KomKonUtb",7.9,47300,373670,15.2,92.53731343
"0160","Täby",2021,73955,40465,0.643326098752035,83.7,8,"IntGr1KomKonUtb",8.3,47600,395080,15.27784037,100
"0160","Täby",2022,75137,41378,0.654301960992719,85.3,6.5,"IntGr1KomUtbBAS",8.5,48300,410550,14.09841954,
"0160","Täby",2023,76738,42564,0.66231715210356,84.6,6.9,"IntGr1KomUtbBAS",7.4,52500,388500,12.92063353,90
"0162","Danderyd",2016,32653,16950,0.73155436957972,79.6,5.3,"IntGr1KomKonUtb",8.5,44300,376550,20.8,
"0162","Danderyd",2017,32888,17109,0.732588699080158,80.1,5.6,"IntGr1KomKonUtb",8.5,44800,380800,18.8,38.70967742
"0162","Danderyd",2018,33187,17360,0.732397992019565,79.5,5.8,"IntGr1KomKonUtb",8.6,45500,391300,20.6,
"0162","Danderyd",2019,32857,17103,0.739608960248608,78,6,"IntGr1KomKonUtb",8.8,46500,409200,17.7,
"0162","Danderyd",2020,32712,17008,0.741960631455857,78.3,7.7,"IntGr1KomKonUtb",8.8,47300,416240,20.3,38.96103896
"0162","Danderyd",2021,32803,17030,0.748444790046656,79,7,"IntGr1KomKonUtb",9.2,47600,437920,18.57343531,60.97560976
"0162","Danderyd",2022,32692,17065,0.754262657815957,81.4,5.7,"IntGr1KomUtbBAS",9.6,48300,463680,17.57944557,67.39130435
"0162","Danderyd",2023,32419,16932,0.760144451739987,81.1,5.7,"IntGr1KomUtbBAS",8.5,52500,446250,15.15857002,60
"0163","Sollentuna",2016,71023,40534,0.566027352026637,81.5,9.6,"IntGr1KomKonUtb",6.8,44300,301240,15.5,41.75438597
"0163","Sollentuna",2017,71848,40944,0.569610656847349,81.5,9.5,"IntGr1KomKonUtb",6.9,44800,309120,12.7,31.68044077
"0163","Sollentuna",2018,72528,41331,0.577182820382778,81.8,9.6,"IntGr1KomKonUtb",7,45500,318500,13.1,40.85714286
"0163","Sollentuna",2019,73857,42070,0.580010965771129,80.9,9.6,"IntGr1KomKonUtb",7,46500,325500,12.9,47.02549575
"0163","Sollentuna",2020,73990,42227,0.589816014511532,79.6,12.5,"IntGr1KomKonUtb",7.1,47300,335830,13.6,46.38554217
"0163","Sollentuna",2021,75108,42924,0.598197416126232,80.8,12,"IntGr1KomKonUtb",7.4,47600,352240,14.20811588,50.86956522
"0163","Sollentuna",2022,76237,43878,0.60885857753129,82.4,10.4,"IntGr1KomUtbBAS",7.6,48300,367080,13.73264847,61.15702479
"0163","Sollentuna",2023,76790,44304,0.615295079125288,81.8,10.1,"IntGr1KomUtbBAS",6.5,52500,341250,11.91536979,65.59139785
"0180","Stockholm",2016,935619,597140,0.579870189907358,79.4,10.4,"IntGr1KomKonUtb",6.3,44300,279090,18.7,45.48587181
"0180","Stockholm",2017,949761,604002,0.584229455952652,79.5,10.3,"IntGr1KomKonUtb",6.4,44800,286720,17,47.80660377
"0180","Stockholm",2018,962154,609670,0.591566499131142,79.8,10.2,"IntGr1KomKonUtb",6.5,45500,295750,16.5,46.53444231
"0180","Stockholm",2019,974073,615793,0.597285726973976,79.4,10,"IntGr1KomKonUtb",6.6,46500,306900,15.7,48.82607704
"0180","Stockholm",2020,975551,615550,0.605146422132951,78.1,13.4,"IntGr1KomKonUtb",6.7,47300,316910,16.9,43.25779673
"0180","Stockholm",2021,978770,615873,0.60990565034628,79.5,12.5,"IntGr1KomKonUtb",7,47600,333200,17.34994538,46.66824197
"0180","Stockholm",2022,984748,619369,0.621970149464111,81.1,10.5,"IntGr1KomUtbBAS",7.2,48300,347760,16.16763901,47.79527559
"0180","Stockholm",2023,988943,620834,0.628267765436942,80.5,10.5,"IntGr1KomUtbBAS",6.2,52500,325500,14.33091015,55.96228508
"0181","Södertälje",2016,94631,56361,0.33897523312945,73.3,21.5,"IntGr1KomKonUtb",5.3,44300,234790,10.2,20.40816326
"0181","Södertälje",2017,96032,57177,0.339432448863525,74.2,20.1,"IntGr1KomKonUtb",5.4,44800,241920,10.3,45.96273292
"0181","Södertälje",2018,97381,57998,0.345067045214756,75.5,18.7,"IntGr1KomKonUtb",5.6,45500,254800,9.5,36.73469388
"0181","Södertälje",2019,98979,58986,0.351704951313959,75.4,17.3,"IntGr1KomKonUtb",5.6,46500,260400,9.6,20.75055188
"0181","Södertälje",2020,100111,59678,0.357793231339824,73.7,20.2,"IntGr1KomKonUtb",5.6,47300,264880,11.5,24.19354838
"0181","Södertälje",2021,101209,60170,0.363248883908067,75.3,19.6,"IntGr1KomKonUtb",5.8,47600,276080,11.97485128,37.20930233
"0181","Södertälje",2022,102426,60986,0.378317181414727,77.7,17.5,"IntGr1KomUtbBAS",6,48300,289800,11.37427664,54.28571428
"0181","Södertälje",2023,102519,61000,0.386456635886294,77.6,16.6,"IntGr1KomUtbBAS",5.2,52500,273000,9.58935189,56.75675675
"0182","Nacka",2016,99359,56181,0.566448246095896,83.6,8.4,"IntGr1KomKonUtb",7,44300,310100,16.2,39.5256917
"0182","Nacka",2017,101231,57087,0.571255364600373,83.4,8.4,"IntGr1KomKonUtb",7.1,44800,318080,16.1,35.11904762
"0182","Nacka",2018,103656,58681,0.57859662877303,83.5,8.3,"IntGr1KomKonUtb",7.2,45500,327600,15.2,48.99536322
"0182","Nacka",2019,105189,59365,0.584267803963381,82.8,8.2,"IntGr1KomKonUtb",7.3,46500,339450,16.8,62.98701299
"0182","Nacka",2020,106505,60129,0.594012214791859,82.1,10.8,"IntGr1KomKonUtb",7.4,47300,350020,15.4,47.1810089
"0182","Nacka",2021,108234,60870,0.603304161457403,83.3,9.6,"IntGr1KomKonUtb",7.8,47600,371280,17.25433613,45.53314121
"0182","Nacka",2022,109486,61611,0.615592251508415,85.3,7.7,"IntGr1KomUtbBAS",8,48300,386400,15.18425159,30.37249283
"0182","Nacka",2023,110633,62410,0.624788398108236,84.5,7.8,"IntGr1KomUtbBAS",7,52500,367500,13.78871133,50.76923076
"0183","Sundbyberg",2016,47750,31458,0.490902704601335,80.5,12.5,"IntGr1KomKonUtb",6.1,44300,270230,14.8,53.64583334
"0183","Sundbyberg",2017,49424,32600,0.503200808625337,81,12.1,"IntGr1KomKonUtb",6.2,44800,277760,12.9,25.81521739
"0183","Sundbyberg",2018,50564,33274,0.516751734066222,81.9,11.4,"IntGr1KomKonUtb",6.4,45500,291200,12.8,54.8
"0183","Sundbyberg",2019,52414,34528,0.526728819411746,81.8,10.9,"IntGr1KomKonUtb",6.4,46500,297600,12.9,55.11551155
"0183","Sundbyberg",2020,52801,34767,0.539566782522344,80.4,14.1,"IntGr1KomKonUtb",6.5,47300,307450,13.2,45.83333333
"0183","Sundbyberg",2021,53564,35228,0.550119331742244,81.5,13.1,"IntGr1KomKonUtb",6.8,47600,323680,13.65289615,47.18309859
"0183","Sundbyberg",2022,54070,35469,0.564152257517488,82.7,11.2,"IntGr1KomUtbBAS",7,48300,338100,12.34434218,51.69491525
"0183","Sundbyberg",2023,55912,36805,0.576884920634921,82.5,11.2,"IntGr1KomUtbBAS",6,52500,315000,12.56106071,42.97520661
"0184","Solna",2016,78129,51566,0.606427423674344,79.8,8.2,"IntGr1KomKonUtb",6.5,44300,287950,15.9,
"0184","Solna",2017,79707,52517,0.61213935764834,79.8,8,"IntGr1KomKonUtb",6.7,44800,300160,13.7,79.7752809
"0184","Solna",2018,80950,53326,0.626365697794269,79.8,7.8,"IntGr1KomKonUtb",6.8,45500,309400,14.2,83.11688312
"0184","Solna",2019,82429,54209,0.634682104243989,79.7,7.7,"IntGr1KomKonUtb",6.9,46500,320850,12.2,68.07511737
"0184","Solna",2020,83162,54691,0.643942718098049,78.6,10.9,"IntGr1KomKonUtb",7,47300,331100,14.9,87.12871287
"0184","Solna",2021,84187,55623,0.652223422008442,79.4,9.7,"IntGr1KomKonUtb",7.3,47600,347480,14.82835319,97.97979798
"0184","Solna",2022,85450,56612,0.667540376980303,80.8,7.8,"IntGr1KomUtbBAS",7.6,48300,367080,13.76859105,97.5
"0184","Solna",2023,85426,56322,0.675923053056159,80.8,8.1,"IntGr1KomUtbBAS",6.6,52500,346500,11.32382065,96.7948718
"0186","Lidingö",2016,46853,25196,0.635080911856784,81.1,7.4,"IntGr1KomKonUtb",7.2,44300,318960,17,
"0186","Lidingö",2017,47185,25235,0.639793643160058,81.3,7.3,"IntGr1KomKonUtb",7.4,44800,331520,18.3,100
"0186","Lidingö",2018,47818,25554,0.644142980189492,81.6,7.3,"IntGr1KomKonUtb",7.5,45500,341250,16,100
"0186","Lidingö",2019,48123,25634,0.650623046289556,80.8,7,"IntGr1KomKonUtb",7.6,46500,353400,15.9,18
"0186","Lidingö",2020,48005,25572,0.658729480164159,80.4,9.5,"IntGr1KomKonUtb",7.7,47300,364210,16.5,18.84057971
"0186","Lidingö",2021,48162,25588,0.662714322272456,81.4,8.9,"IntGr1KomKonUtb",8,47600,380800,16.56168165,95.65217391
"0186","Lidingö",2022,48432,25790,0.66943866943867,83.6,6.9,"IntGr1KomUtbBAS",8.3,48300,400890,15.83542469,92.10526316
"0186","Lidingö",2023,48324,25677,0.675405636208369,82.4,7.2,"IntGr1KomUtbBAS",7.3,52500,383250,14.26568524,88.15789474
"0187","Vaxholm",2016,11621,6133,0.539978486912872,84.6,6,"IntGr1KomKonUtb",7.2,44300,318960,17.1,
"0187","Vaxholm",2017,11831,6242,0.540298507462687,84.6,6.4,"IntGr1KomKonUtb",7.3,44800,327040,20.2,
"0187","Vaxholm",2018,12023,6333,0.549107916161441,85.1,6.4,"IntGr1KomKonUtb",7.5,45500,341250,15.6,
"0187","Vaxholm",2019,12003,6280,0.554395126196693,83.9,6.5,"IntGr1KomKonUtb",7.5,46500,348750,14.7,
"0187","Vaxholm",2020,11886,6194,0.558229404531881,83.8,8.7,"IntGr1KomKonUtb",7.6,47300,359480,15.4,90.90909091
"0187","Vaxholm",2021,11996,6228,0.571403692093347,83.5,8.3,"IntGr1KomKonUtb",8,47600,380800,17.28359499,
"0187","Vaxholm",2022,11899,6136,0.580456718003187,85.8,6.7,"IntGr1KomUtbBAS",8.2,48300,396060,14.96833621,
"0187","Vaxholm",2023,11817,6084,0.585558143701846,84.6,5.9,"IntGr1KomUtbBAS",7.2,52500,378000,10.35287256,
"0188","Norrtälje",2016,59420,31898,0.285433070866142,81.4,9.3,"IntGr1KomKonUtb",5.7,44300,252510,14.5,28.72340426
"0188","Norrtälje",2017,60808,32482,0.290112675091613,81.2,9.3,"IntGr1KomKonUtb",5.8,44800,259840,12.7,32.46753246
"0188","Norrtälje",2018,61769,32777,0.297842259400141,81.5,9.3,"IntGr1KomKonUtb",5.9,45500,268450,12.7,36.09022556
"0188","Norrtälje",2019,62622,33081,0.300795492210805,81.8,8.9,"IntGr1KomKonUtb",5.9,46500,274350,11.6,28.75
"0188","Norrtälje",2020,63673,33529,0.307865095383814,80.8,10.6,"IntGr1KomKonUtb",6,47300,283800,12.5,24.25742574
"0188","Norrtälje",2021,64762,33983,0.31757319495163,81.4,10.4,"IntGr1KomKonUtb",6.2,47600,295120,14.13786477,18.18181819
"0188","Norrtälje",2022,65587,34229,0.33101122880682,82.9,9.1,"IntGr1KomUtbBAS",6.3,48300,304290,13.05561638,18.47826087
"0188","Norrtälje",2023,65770,34164,0.339639467482005,82.4,8.7,"IntGr1KomUtbBAS",5.5,52500,288750,11.73498492,
"0191","Sigtuna",2016,46274,27397,0.349579487179487,78.7,13.2,"IntGr1KomKonUtb",5.7,44300,252510,13.6,93.73134328
"0191","Sigtuna",2017,47146,27884,0.352062931449671,79.2,12.9,"IntGr1KomKonUtb",5.7,44800,255360,14.1,60.23391813
"0191","Sigtuna",2018,48130,28421,0.359509298327864,79.6,12.5,"IntGr1KomKonUtb",5.9,45500,268450,12.6,50.69124424
"0191","Sigtuna",2019,48964,28839,0.363015275965303,78.4,12.6,"IntGr1KomKonUtb",5.9,46500,274350,12.1,42.85714286
"0191","Sigtuna",2020,49537,29205,0.368574016758511,75.3,18.9,"IntGr1KomKonUtb",5.8,47300,274340,14.7,50.54945054
"0191","Sigtuna",2021,50273,29545,0.372921084942516,77.3,18.5,"IntGr1KomKonUtb",6,47600,285600,15.16191427,
"0191","Sigtuna",2022,51876,30576,0.385308210541485,79.4,14.9,"IntGr1KomUtbBAS",6.2,48300,299460,13.4110969,54.28571428
"0191","Sigtuna",2023,52529,31059,0.38963907792069,79.1,13.8,"IntGr1KomUtbBAS",5.3,52500,278250,11.97550602,46.15384615
"0192","Nynäshamn",2016,27752,15431,0.292484717727436,81,10.5,"IntGr1KomKonUtb",5.9,44300,261370,12.8,
"0192","Nynäshamn",2017,28109,15638,0.296207528549274,80.5,10.9,"IntGr1KomKonUtb",6,44800,268800,10.7,52.14285714
