"breed","date","shelter_name","price_usd"
"French Bulldog","2024-12-23","Willow Creek Adoptions",1230
"Chihuahua","2024-05-06","Happy Paws Shelter",334
"Border Collie","2023-07-16","Willow Creek Adoptions",499
"Pug","2022-06-25","City Animal Care",714
"Pug","2024-11-10","Willow Creek Adoptions",682
"Dachshund","2024-02-14","Pawsitive Rescue",229
"Border Collie","2024-03-11","Willow Creek Adoptions",453
"Pug","2024-10-05","Happy Paws Shelter",710
"Border Collie","2024-03-16","Pawsitive Rescue",235
"Labrador Retriever","2023-10-08","City Animal Care",579
"Beagle","2024-04-28","Pawsitive Rescue",202
"Beagle","2022-07-24","Willow Creek Adoptions",414
"German Shepherd","2023-10-17","Pawsitive Rescue",347
"Border Collie","2024-07-07","Pawsitive Rescue",277
"Poodle (Standard)","2023-02-14","City Animal Care",708
"Chihuahua","2023-11-21","City Animal Care",338
"Poodle (Standard)","2023-03-03","Pawsitive Rescue",450
"Pug","2023-10-21","City Animal Care",727
"Beagle","2023-04-22","Happy Paws Shelter",405
"French Bulldog","2022-08-09","Happy Paws Shelter",1255
"Dachshund","2024-05-01","Happy Paws Shelter",421
"Labrador Retriever","2023-07-01","City Animal Care",591
"Labrador Retriever","2024-01-01","Happy Paws Shelter",572
"Dachshund","2022-10-14","City Animal Care",403
"Chihuahua","2024-11-12","Willow Creek Adoptions",353
"Beagle","2023-12-07","Happy Paws Shelter",410
"Labrador Retriever","2024-07-24","Pawsitive Rescue",364
"Labrador Retriever","2022-01-05","City Animal Care",597
"Poodle (Standard)","2024-08-15","Willow Creek Adoptions",703
"Beagle","2024-06-29","Pawsitive Rescue",213
"Border Collie","2024-07-17","Happy Paws Shelter",488
"Beagle","2022-08-02","City Animal Care",398
"Pug","2023-02-06","Willow Creek Adoptions",715
"Beagle","2022-01-16","Willow Creek Adoptions",419
"Poodle (Standard)","2024-09-29","Willow Creek Adoptions",704
"Border Collie","2023-09-19","City Animal Care",471
"French Bulldog","2022-08-05","Pawsitive Rescue",802
"Dachshund","2022-05-03","Willow Creek Adoptions",404
"Pug","2024-11-28","Pawsitive Rescue",398
"Dachshund","2024-03-27","Pawsitive Rescue",208
"Chihuahua","2022-05-04","Willow Creek Adoptions",369
"Pug","2024-08-05","Willow Creek Adoptions",709
"Golden Retriever","2024-04-08","City Animal Care",595
"French Bulldog","2024-05-08","City Animal Care",1207
"Pug","2023-05-01","Willow Creek Adoptions",719
"Border Collie","2023-07-28","Willow Creek Adoptions",490
"Labrador Retriever","2022-06-10","City Animal Care",581
"Golden Retriever","2022-03-26","Pawsitive Rescue",375
"Chihuahua","2023-01-24","City Animal Care",349
"Golden Retriever","2023-06-04","City Animal Care",597
"Border Collie","2023-04-24","Willow Creek Adoptions",491
"Golden Retriever","2024-07-22","Happy Paws Shelter",605
"Dachshund","2023-06-23","City Animal Care",411
"French Bulldog","2024-10-03","Pawsitive Rescue",813
"Poodle (Standard)","2023-01-26","Pawsitive Rescue",433
"Pug","2023-01-06","Pawsitive Rescue",388
"Dachshund","2023-12-20","Pawsitive Rescue",209
"Labrador Retriever","2023-08-15","Willow Creek Adoptions",595
"Poodle (Standard)","2023-05-02","City Animal Care",702
"Beagle","2023-06-08","City Animal Care",400
"Poodle (Standard)","2024-11-24","Willow Creek Adoptions",695
"Labrador Retriever","2024-05-23","Pawsitive Rescue",350
"French Bulldog","2023-04-05","Willow Creek Adoptions",1254
"Dachshund","2023-10-18","City Animal Care",391
"German Shepherd","2022-04-28","Happy Paws Shelter",609
"Beagle","2024-05-07","Willow Creek Adoptions",399
"Pug","2022-04-28","City Animal Care",732
"Border Collie","2022-07-13","City Animal Care",480
"Border Collie","2023-04-07","Happy Paws Shelter",501
"Beagle","2022-08-20","Willow Creek Adoptions",406
"Poodle (Standard)","2022-07-08","Pawsitive Rescue",445
"Labrador Retriever","2024-01-28","Willow Creek Adoptions",602
"Poodle (Standard)","2023-07-05","Happy Paws Shelter",718
"Pug","2023-08-01","Willow Creek Adoptions",720
"Golden Retriever","2023-08-18","Pawsitive Rescue",371
"Poodle (Standard)","2024-01-11","Willow Creek Adoptions",684
"Golden Retriever","2024-11-06","City Animal Care",591
"Beagle","2022-05-27","City Animal Care",395
"Chihuahua","2024-10-23","City Animal Care",329
"Poodle (Standard)","2023-03-11","City Animal Care",714
"German Shepherd","2023-08-12","Pawsitive Rescue",369
"Dachshund","2024-05-26","City Animal Care",398
"German Shepherd","2024-03-23","City Animal Care",569
"Pug","2024-10-03","Willow Creek Adoptions",711
"Poodle (Standard)","2022-07-09","Willow Creek Adoptions",717
"Pug","2022-01-09","Pawsitive Rescue",422
"Labrador Retriever","2022-05-25","Pawsitive Rescue",355
"Pug","2022-08-06","Pawsitive Rescue",405
"Golden Retriever","2024-10-01","Pawsitive Rescue",341
"Pug","2022-10-06","Pawsitive Rescue",400
"French Bulldog","2023-05-19","Pawsitive Rescue",831
"Poodle (Standard)","2023-09-13","Pawsitive Rescue",424
"Chihuahua","2023-06-01","Happy Paws Shelter",359
"Poodle (Standard)","2022-10-25","City Animal Care",735
"Chihuahua","2024-07-21","City Animal Care",331
"Golden Retriever","2024-10-15","Happy Paws Shelter",620
"Pug","2023-09-13","Willow Creek Adoptions",700
"German Shepherd","2024-10-08","Happy Paws Shelter",616
"French Bulldog","2024-01-05","City Animal Care",1194
"Poodle (Standard)","2022-08-22","Pawsitive Rescue",444
"Border Collie","2023-12-21","Pawsitive Rescue",257
"German Shepherd","2023-12-22","Happy Paws Shelter",596
"Labrador Retriever","2023-01-24","Willow Creek Adoptions",623
"Labrador Retriever","2024-06-21","Willow Creek Adoptions",592
"Dachshund","2022-08-12","Pawsitive Rescue",201
"Golden Retriever","2024-01-16","Willow Creek Adoptions",615
"Chihuahua","2024-02-20","Happy Paws Shelter",343
"Poodle (Standard)","2023-11-27","Willow Creek Adoptions",706
"German Shepherd","2022-11-16","Willow Creek Adoptions",630
"French Bulldog","2022-04-01","Willow Creek Adoptions",1218
"Pug","2023-06-11","Happy Paws Shelter",722
"Labrador Retriever","2023-02-04","Pawsitive Rescue",340
"Dachshund","2023-01-11","Willow Creek Adoptions",402
"Poodle (Standard)","2022-05-11","Willow Creek Adoptions",746
"Dachshund","2024-10-24","Happy Paws Shelter",412
"Labrador Retriever","2022-05-14","Happy Paws Shelter",591
"Pug","2023-08-10","Pawsitive Rescue",408
"Chihuahua","2024-08-05","Pawsitive Rescue",190
"Beagle","2023-01-25","City Animal Care",402
"Border Collie","2022-11-05","Willow Creek Adoptions",498
"Beagle","2024-12-14","City Animal Care",383
"Golden Retriever","2024-09-25","Happy Paws Shelter",604
"French Bulldog","2023-11-16","City Animal Care",1192
"Golden Retriever","2023-09-15","City Animal Care",607
"French Bulldog","2023-09-10","Happy Paws Shelter",1241
"Poodle (Standard)","2024-10-19","Happy Paws Shelter",685
"Poodle (Standard)","2022-09-21","Happy Paws Shelter",711
"Pug","2022-04-03","City Animal Care",710
"Border Collie","2024-02-12","Happy Paws Shelter",506
"Labrador Retriever","2023-03-01","Willow Creek Adoptions",610
"Poodle (Standard)","2022-09-16","Pawsitive Rescue",436
"Labrador Retriever","2024-05-19","City Animal Care",583
"Poodle (Standard)","2023-07-11","Willow Creek Adoptions",705
"Chihuahua","2024-10-23","Willow Creek Adoptions",355
"Dachshund","2022-04-23","Happy Paws Shelter",417
"Pug","2022-03-09","Willow Creek Adoptions",725
"Border Collie","2023-01-03","Pawsitive Rescue",266
"Dachshund","2023-04-01","Happy Paws Shelter",413
"Border Collie","2023-11-18","Happy Paws Shelter",491
"Labrador Retriever","2024-10-03","Happy Paws Shelter",575
"Poodle (Standard)","2024-06-23","Willow Creek Adoptions",701
"Pug","2022-01-15","City Animal Care",717
"Border Collie","2024-07-13","Willow Creek Adoptions",467
"French Bulldog","2022-06-01","Happy Paws Shelter",1251
"Labrador Retriever","2023-11-27","Happy Paws Shelter",587
"Chihuahua","2024-09-02","Pawsitive Rescue",193
"Poodle (Standard)","2023-07-19","Willow Creek Adoptions",713
"Pug","2024-03-28","Willow Creek Adoptions",704
"French Bulldog","2022-01-12","Happy Paws Shelter",1261
"Pug","2022-01-06","City Animal Care",737
"Chihuahua","2024-01-28","Pawsitive Rescue",196
"Dachshund","2024-07-15","Pawsitive Rescue",218
"Chihuahua","2023-02-16","Pawsitive Rescue",195
"Poodle (Standard)","2024-09-15","City Animal Care",675
"French Bulldog","2022-10-28","Willow Creek Adoptions",1229
"German Shepherd","2023-03-14","City Animal Care",589
"Golden Retriever","2024-04-11","Willow Creek Adoptions",611
"Beagle","2023-06-06","City Animal Care",392
"Pug","2023-09-22","Happy Paws Shelter",735
"Dachshund","2022-04-03","Willow Creek Adoptions",393
"French Bulldog","2023-12-02","Willow Creek Adoptions",1200
"Poodle (Standard)","2023-12-28","Happy Paws Shelter",700
"French Bulldog","2024-06-13","Pawsitive Rescue",810
"Poodle (Standard)","2022-01-08","Willow Creek Adoptions",744
"Pug","2024-04-03","City Animal Care",703
"Labrador Retriever","2022-07-06","Pawsitive Rescue",360
"French Bulldog","2023-01-19","Willow Creek Adoptions",1243
"Chihuahua","2023-07-01","Happy Paws Shelter",351
"French Bulldog","2023-06-14","City Animal Care",1199
"Labrador Retriever","2022-03-06","Willow Creek Adoptions",614
"Border Collie","2024-01-18","City Animal Care",481
"Poodle (Standard)","2023-04-14","Happy Paws Shelter",726
"Beagle","2024-03-20","Willow Creek Adoptions",397
"Poodle (Standard)","2022-12-19","City Animal Care",709
"Dachshund","2023-06-04","Happy Paws Shelter",403
"French Bulldog","2024-11-10","Happy Paws Shelter",1203
"German Shepherd","2023-11-13","Willow Creek Adoptions",611
"Beagle","2022-07-21","Happy Paws Shelter",409
"Labrador Retriever","2024-09-01","City Animal Care",567
"Poodle (Standard)","2022-12-10","Pawsitive Rescue",431
"Poodle (Standard)","2022-07-28","Willow Creek Adoptions",720
"Golden Retriever","2023-09-03","Willow Creek Adoptions",609
"German Shepherd","2024-01-27","City Animal Care",582
"Golden Retriever","2023-02-13","Willow Creek Adoptions",625
"Pug","2024-05-02","Happy Paws Shelter",718
"German Shepherd","2024-04-04","Happy Paws Shelter",611
"Dachshund","2022-01-21","Willow Creek Adoptions",405
"Golden Retriever","2022-03-29","Willow Creek Adoptions",630
"Poodle (Standard)","2022-07-19","Happy Paws Shelter",706
"Dachshund","2022-09-20","Willow Creek Adoptions",395
"French Bulldog","2022-04-08","City Animal Care",1234
"Labrador Retriever","2022-02-16","Willow Creek Adoptions",621
"Pug","2024-06-16","Willow Creek Adoptions",702
"Labrador Retriever","2023-11-07","Willow Creek Adoptions",598
"Chihuahua","2024-06-15","City Animal Care",341
"French Bulldog","2024-09-23","Willow Creek Adoptions",1196
"Pug","2023-08-20","Happy Paws Shelter",731
"Labrador Retriever","2024-02-28","Willow Creek Adoptions",600
"Dachshund","2023-07-24","Willow Creek Adoptions",391
"Golden Retriever","2024-12-20","Pawsitive Rescue",342
"Pug","2023-09-06","Willow Creek Adoptions",708
"Border Collie","2023-07-25","Happy Paws Shelter",496
"German Shepherd","2023-01-20","City Animal Care",595
"Dachshund","2022-12-01","Pawsitive Rescue",205
"Beagle","2023-06-22","Willow Creek Adoptions",403
"German Shepherd","2023-05-04","Happy Paws Shelter",603
"Beagle","2023-02-12","Pawsitive Rescue",209
"Labrador Retriever","2022-02-05","Pawsitive Rescue",356
"French Bulldog","2022-11-28","City Animal Care",1213
"Beagle","2024-11-25","Willow Creek Adoptions",385
"Pug","2024-12-03","Happy Paws Shelter",720
"Beagle","2024-07-22","Pawsitive Rescue",207
"Pug","2024-02-09","City Animal Care",707
"Chihuahua","2023-01-17","Happy Paws Shelter",354
"Labrador Retriever","2024-01-08","Willow Creek Adoptions",609
"German Shepherd","2023-08-06","Willow Creek Adoptions",620
"Dachshund","2022-08-22","City Animal Care",410
"Border Collie","2024-06-10","Pawsitive Rescue",259
"Border Collie","2024-08-20","Willow Creek Adoptions",473
"French Bulldog","2023-08-07","Willow Creek Adoptions",1231
"Poodle (Standard)","2023-06-09","Happy Paws Shelter",710
"German Shepherd","2024-11-26","Pawsitive Rescue",370
"French Bulldog","2024-04-21","Happy Paws Shelter",1223
"Poodle (Standard)","2024-11-09","Happy Paws Shelter",682
"Golden Retriever","2024-10-18","Willow Creek Adoptions",601
"Golden Retriever","2023-01-19","Willow Creek Adoptions",623
"Labrador Retriever","2022-08-22","City Animal Care",576
"Poodle (Standard)","2024-08-25","Happy Paws Shelter",695
"Poodle (Standard)","2023-04-09","Happy Paws Shelter",721
"Golden Retriever","2024-11-23","City Animal Care",588
"Border Collie","2024-10-03","City Animal Care",464
"Border Collie","2023-04-05","Pawsitive Rescue",263
"Beagle","2024-10-15","City Animal Care",388
"German Shepherd","2023-09-07","Willow Creek Adoptions",618
"Labrador Retriever","2023-01-15","Willow Creek Adoptions",618
"Pug","2024-10-05","Willow Creek Adoptions",692
"Poodle (Standard)","2023-10-08","Pawsitive Rescue",425
"Dachshund","2023-06-10","Willow Creek Adoptions",396
"Poodle (Standard)","2022-01-18","Happy Paws Shelter",720
"Labrador Retriever","2022-12-27","Willow Creek Adoptions",607
"Pug","2023-02-16","Willow Creek Adoptions",710
"Poodle (Standard)","2024-08-17","Pawsitive Rescue",411
"Border Collie","2022-04-05","Happy Paws Shelter",510
"Chihuahua","2022-03-22","Willow Creek Adoptions",376
"Golden Retriever","2022-06-17","Happy Paws Shelter",609
"French Bulldog","2024-01-26","Happy Paws Shelter",1238
"Golden Retriever","2024-11-11","Pawsitive Rescue",352
"Poodle (Standard)","2023-09-18","Happy Paws Shelter",703
"German Shepherd","2024-09-29","Happy Paws Shelter",603
"Chihuahua","2023-08-25","Willow Creek Adoptions",359
"French Bulldog","2023-05-04","Happy Paws Shelter",1264
"Poodle (Standard)","2023-10-21","City Animal Care",693
"Poodle (Standard)","2024-10-22","Willow Creek Adoptions",679
"French Bulldog","2022-02-20","Willow Creek Adoptions",1245
"Beagle","2024-02-14","Happy Paws Shelter",400
"Labrador Retriever","2024-01-24","Willow Creek Adoptions",606
"French Bulldog","2024-04-25","Pawsitive Rescue",800
"Poodle (Standard)","2024-01-29","City Animal Care",696
"French Bulldog","2023-08-06","City Animal Care",1204
"Golden Retriever","2023-12-28","Happy Paws Shelter",590
"Dachshund","2022-08-02","City Animal Care",412
"Dachshund","2023-08-29","City Animal Care",397
"Border Collie","2022-08-01","Willow Creek Adoptions",494
"Golden Retriever","2022-02-15","Happy Paws Shelter",627
"Chihuahua","2022-05-09","Happy Paws Shelter",357
"Chihuahua","2022-02-05","City Animal Care",348
"Poodle (Standard)","2022-01-18","Willow Creek Adoptions",737
"French Bulldog","2024-11-12","Willow Creek Adoptions",1188
"Beagle","2024-04-25","Willow Creek Adoptions",393
"Pug","2024-10-27","Pawsitive Rescue",404
"German Shepherd","2024-06-21","Happy Paws Shelter",600
"German Shepherd","2024-06-17","Willow Creek Adoptions",613
"Border Collie","2024-04-15","City Animal Care",478
"Poodle (Standard)","2023-10-01","Happy Paws Shelter",699
"Golden Retriever","2023-02-04","Happy Paws Shelter",618
"Pug","2024-08-21","City Animal Care",696
"Labrador Retriever","2023-02-02","Willow Creek Adoptions",617
"Beagle","2022-11-07","Pawsitive Rescue",199
"Golden Retriever","2024-07-24","Willow Creek Adoptions",602
"Beagle","2023-12-28","Pawsitive Rescue",201
"Border Collie","2023-01-11","Willow Creek Adoptions",495
"Labrador Retriever","2023-05-26","Happy Paws Shelter",597
"Beagle","2023-09-02","City Animal Care",396
"Dachshund","2024-10-23","Willow Creek Adoptions",385
"Pug","2024-07-26","Happy Paws Shelter",721
"Poodle (Standard)","2024-01-21","Pawsitive Rescue",423
"Pug","2023-03-06","City Animal Care",723
"French Bulldog","2023-08-05","Willow Creek Adoptions",1237
"Border Collie","2023-10-15","Happy Paws Shelter",493
"French Bulldog","2022-09-05","City Animal Care",1226
"Pug","2022-11-28","Happy Paws Shelter",727
"Beagle","2024-02-05","Happy Paws Shelter",403
"Golden Retriever","2022-09-20","City Animal Care",601
"Dachshund","2022-06-29","Happy Paws Shelter",410
"Beagle","2022-07-23","City Animal Care",400
"Labrador Retriever","2022-01-20","Willow Creek Adoptions",628
"Chihuahua","2024-03-22","Pawsitive Rescue",192
"Dachshund","2022-05-08","Happy Paws Shelter",424
"Pug","2022-11-10","Pawsitive Rescue",409
"French Bulldog","2024-03-23","Willow Creek Adoptions",1210
"Dachshund","2024-09-19","Willow Creek Adoptions",383
"Golden Retriever","2022-08-23","Willow Creek Adoptions",618
"Poodle (Standard)","2024-08-06","City Animal Care",680
"Border Collie","2023-04-17","City Animal Care",483
"Labrador Retriever","2023-05-25","Willow Creek Adoptions",605
"Poodle (Standard)","2022-10-10","Willow Creek Adoptions",707
"Pug","2023-06-21","City Animal Care",712
"German Shepherd","2024-10-04","Willow Creek Adoptions",601
"French Bulldog","2024-01-16","Happy Paws Shelter",1243
"Poodle (Standard)","2024-11-03","City Animal Care",677
"Poodle (Standard)","2022-09-12","Happy Paws Shelter",715
"Labrador Retriever","2023-12-15","Pawsitive Rescue",347
"Dachshund","2022-04-09","Pawsitive Rescue",212
"Dachshund","2024-04-06","Willow Creek Adoptions",394
"Pug","2023-07-18","City Animal Care",717
"Chihuahua","2023-04-15","Willow Creek Adoptions",367
"Poodle (Standard)","2023-10-01","City Animal Care",697
"Golden Retriever","2024-04-22","Pawsitive Rescue",358
"Golden Retriever","2023-03-22","Willow Creek Adoptions",619
"Labrador Retriever","2024-05-21","Willow Creek Adoptions",599
"Border Collie","2024-12-20","Willow Creek Adoptions",463
"Border Collie","2023-10-09","Pawsitive Rescue",253
"Golden Retriever","2024-12-14","Happy Paws Shelter",594
"Pug","2022-10-19","Happy Paws Shelter",730
"French Bulldog","2023-07-09","Happy Paws Shelter",1229
"German Shepherd","2024-08-24","City Animal Care",560
"Border Collie","2023-10-11","Happy Paws Shelter",495
"Dachshund","2022-08-03","Willow Creek Adoptions",401
"German Shepherd","2023-02-03","Pawsitive Rescue",376
"Golden Retriever","2022-04-28","Happy Paws Shelter",619
"French Bulldog","2023-04-12","Happy Paws Shelter",1268
"Chihuahua","2022-06-08","Happy Paws Shelter",361
"Labrador Retriever","2024-09-07","Happy Paws Shelter",567
"Golden Retriever","2023-06-05","Happy Paws Shelter",609
"Golden Retriever","2022-08-21","Pawsitive Rescue",373
"Border Collie","2024-12-03","Pawsitive Rescue",248
"Poodle (Standard)","2022-07-16","Happy Paws Shelter",709
"Pug","2022-08-12","Willow Creek Adoptions",707
"Labrador Retriever","2023-01-19","City Animal Care",589
"Beagle","2024-07-17","City Animal Care",391
"Beagle","2024-03-07","City Animal Care",394
"Pug","2022-06-07","Willow Creek Adoptions",723
"Beagle","2024-10-03","Happy Paws Shelter",395
"Labrador Retriever","2022-10-28","Willow Creek Adoptions",609
"French Bulldog","2022-02-19","City Animal Care",1239
"Poodle (Standard)","2022-05-07","Happy Paws Shelter",725
"Border Collie","2022-12-24","Willow Creek Adoptions",484
"Labrador Retriever","2022-09-11","Pawsitive Rescue",352
"German Shepherd","2024-07-23","Pawsitive Rescue",373
"Beagle","2023-10-06","Willow Creek Adoptions",394
"French Bulldog","2024-11-11","Pawsitive Rescue",781
"French Bulldog","2022-01-10","City Animal Care",1247
"Chihuahua","2024-12-22","Willow Creek Adoptions",349
"Labrador Retriever","2024-08-20","Happy Paws Shelter",570
"Border Collie","2022-06-09","Willow Creek Adoptions",502
"Dachshund","2024-04-27","Willow Creek Adoptions",391
"German Shepherd","2023-07-15","Willow Creek Adoptions",614
"Beagle","2022-06-22","Willow Creek Adoptions",410
"Labrador Retriever","2024-05-09","Happy Paws Shelter",580
"Poodle (Standard)","2024-07-10","City Animal Care",683
"Border Collie","2022-08-13","Happy Paws Shelter",504
"Pug","2024-06-17","City Animal Care",699
"German Shepherd","2023-06-03","Willow Creek Adoptions",622
"German Shepherd","2024-06-27","City Animal Care",571
"Poodle (Standard)","2023-11-01","Happy Paws Shelter",705
"German Shepherd","2022-01-15","City Animal Care",601
"French Bulldog","2022-10-26","Happy Paws Shelter",1235
"Pug","2023-06-09","Happy Paws Shelter",725
"Pug","2022-02-04","Willow Creek Adoptions",731
"Pug","2023-05-25","Willow Creek Adoptions",713
"German Shepherd","2024-12-25","City Animal Care",554
"French Bulldog","2023-01-14","City Animal Care",1228
"French Bulldog","2024-08-10","Willow Creek Adoptions",1204
"Beagle","2022-01-01","Happy Paws Shelter",416
"Labrador Retriever","2024-03-28","Willow Creek Adoptions",597
"Chihuahua","2024-06-18","Pawsitive Rescue",194
"Poodle (Standard)","2024-05-09","Willow Creek Adoptions",700
"Border Collie","2022-02-28","Pawsitive Rescue",274
"French Bulldog","2024-03-04","Happy Paws Shelter",1231
"Border Collie","2022-03-13","City Animal Care",496
"Poodle (Standard)","2022-10-25","Willow Creek Adoptions",702
