"dog_id","event_time","event_type","shelter_name","staff_id"
"9730","2023-12-10 10:50:00","vet_check","City Animal Care","V01"
"9730","2024-01-15 15:10:00","vet_check","City Animal Care","V01"
"9730","2024-03-25 15:35:00","adopted","City Animal Care","C03"
"3170","2023-04-11 08:20:00","intake","Willow Creek Adoptions","A08"
"3170","2023-04-12 14:55:00","vet_check","Willow Creek Adoptions","V03"
"3170","2023-05-12 09:25:00","vet_check","Willow Creek Adoptions","V03"
"3916","2023-05-09 10:35:00","intake","Willow Creek Adoptions","A08"
"3916","2023-05-12 13:50:00","vet_check","Willow Creek Adoptions","V03"
"6428","2024-02-19 13:00:00","intake","Willow Creek Adoptions","A08"
"6428","2024-02-21 09:50:00","vet_check","Willow Creek Adoptions","V03"
"2919","2024-03-28 11:20:00","intake","Willow Creek Adoptions","A08"
"2919","2024-03-30 14:35:00","vet_check","Willow Creek Adoptions","V03"
"1372","2023-04-25 09:00:00","intake","Happy Paws Shelter","A12"
"1372","2023-04-27 10:30:00","vet_check","Happy Paws Shelter","V01"
"2932","2023-05-09 14:20:00","intake","Happy Paws Shelter","A12"
"2932","2023-05-12 15:45:00","vet_check","Happy Paws Shelter","V01"
"3726","2023-12-20 09:45:00","intake","City Animal Care","A04"
"3726","2023-12-22 13:10:00","vet_check","City Animal Care","V01"
"3726","2024-03-01 14:50:00","adopted","City Animal Care","C03"
"7604","2024-01-15 12:35:00","intake","Happy Paws Shelter","A12"
"7604","2024-01-17 09:55:00","vet_check","Happy Paws Shelter","V01"
"3659","2024-02-28 10:15:00","intake","Willow Creek Adoptions","A08"
"3659","2024-03-01 13:40:00","vet_check","Willow Creek Adoptions","V03"
"9996","2023-04-18 11:30:00","intake","Willow Creek Adoptions","A08"
"9996","2023-04-20 14:00:00","vet_check","Willow Creek Adoptions","V03"
"1964","2023-11-05 14:15:00","adopted","City Animal Care","C03"
"1254","2023-09-14 10:40:00","intake","Happy Paws Shelter","A12"
"1254","2023-09-16 13:25:00","vet_check","Happy Paws Shelter","V01"
"4094","2023-09-04 14:50:00","vet_check","Happy Paws Shelter","V01"
"5522","2024-01-08 10:20:00","vet_check","Willow Creek Adoptions","V03"
